Type,Value,Description
domain,luasdyfaenflkjasdfh.com,Feb-21
domain,ly4.gy,Feb-21
domain,m107.google-api-tools.com,Feb-21
domain,madisonadv.cc,Feb-21
domain,mail.igov-service.net,Feb-21
domain,mail.safeyoke.com,Feb-21
domain,massflip.com,Feb-21
domain,master.hackyour.computer,Feb-21
domain,master.porkforlife.com,Feb-21
domain,meat.tomatoespro.com,Feb-21
domain,mentalhealth-madison.com,Feb-21
domain,mesteratosr.me,Feb-21
domain,mgfee.com,Feb-21
domain,microsoft0com.cf,Feb-21
domain,mixalt.com,Feb-21
domain,mixdir.com,Feb-21
domain,mixelf.com,Feb-21
domain,mixres.com,Feb-21
domain,mobilecdnprod.azureedge.net,Feb-21
domain,morginandmorgin.com,Feb-21
